with rad 8, center at [0, -10.0, -13.0], num_waypoints 40, epsilon 1.3, & overshoot 1.3... it took 11.88 sec
with rad 8, center at [0, -10.0, -13.0], num_waypoints 70, epsilon 0.72, & overshoot 0.72... it took 16.96 sec
with rad 8, center at [0, -10.0, -13.0], num_waypoints 70, epsilon 0.72, & overshoot 0.79... it took 16.32 sec
with rad 8, center at [0, -10.0, -13.0], num_waypoints 70, epsilon 0.72, & overshoot 0.0... it took 24.51 sec
with rad 8, center at [0, -10.0, -13.0], num_waypoints 70, epsilon 0.72, & overshoot 1.1... it took 14.94 sec
with rad 8, center at [0, -10.0, -13.0], num_waypoints 70, epsilon 0.72, & overshoot 1.3... it took 14.62 sec
with rad 8, center at [0, -10.0, -13.0], num_waypoints 70, epsilon 0.72, & overshoot 1.4... it took 13.96 sec
with rad 8, center at [0, -10.0, -13.0], num_waypoints 70, epsilon 0.72, & overshoot 1.6... it took 14.13 sec
with rad 8, center at [0, -10.0, -13.0], num_waypoints 70, epsilon 0.72, & overshoot 1.6... it took 13.98 sec
with rad 8, center at [0, -10.0, -13.0], num_waypoints 70, epsilon 0.72, & overshoot 1.6... it took 14.05 sec
with rad 8, center at [0, -10.0, -13.0], num_waypoints 70, epsilon 0.72, & overshoot 1.5... it took 13.84 sec
with rad 8, center at [0, -10.0, -13.0], num_waypoints 70, epsilon 1.4, & overshoot 1.4... it took 12.28 sec
with rad 8, center at [0, -10.0, -13.0], num_waypoints 70, epsilon 3.6, & overshoot 3.6... it took 8.46 sec
with rad 8, center at [0, -10.0, -13.0], num_waypoints 70, epsilon 3.6, & overshoot 0.0... it took 9.76 sec
with rad 8, center at [0, -10.0, -13.0], num_waypoints 70, epsilon 7.2, & overshoot 0.0... it took 6.80 sec
with rad 8, center at [0, -10.0, -13.0], num_waypoints 70, epsilon 7.2, & overshoot 3.6... it took 9.03 sec
with rad 8, center at [0, -10.0, -13.0], num_waypoints 70, epsilon 2.2, & overshoot 2.2... it took 10.16 sec
with rad 8, center at [0, -10.0, -13.0], num_waypoints 70, epsilon 3.6, & overshoot 0.0... it took 9.84 sec
with rad 8, center at [0, -10.0, -13.0], num_waypoints 70, epsilon 4.3, & overshoot 0.0... it took 9.06 sec
with rad 8, center at [0, -10.0, -13.0], num_waypoints 70, epsilon 4.3, & overshoot 4.3... it took 8.04 sec
with rad 8, center at [0, -10.0, -13.0], num_waypoints 10, epsilon 4.3, & overshoot 4.3... it took 11.53 sec
with rad 8, center at [0, -10.0, -13.0], num_waypoints 70, epsilon 2.0, & overshoot 2.0... it took 10.51 sec
with rad 8, center at [0, -10.0, -13.0], num_waypoints 70, epsilon 5.0, & overshoot 5.0... it took 8.33 sec
with rad 8, center at [0, -10.0, -13.0], num_waypoints 70, epsilon 5.0, & overshoot 5.0... it took 8.21 sec
with rad 8, center at [0, -10.0, -13.0], num_waypoints 70, epsilon 4.3, & overshoot 4.3... it took 7.90 sec
with rad 8, center at [0, -10.0, -13.0], num_waypoints 70, epsilon 4.3, & overshoot 0.0... it took 8.97 sec
with rad 8, center at [0, -10.0, -13.0], num_waypoints 70, epsilon 5.0, & overshoot 0.0... it took 8.30 sec
with rad 8, center at [0, -10.0, -13.0], num_waypoints 70, epsilon 5.5, & overshoot 0.0... it took 7.81 sec
with rad 8, center at [0, -10.0, -30.0], num_waypoints 70, epsilon 5.5, & overshoot 0.0... it took 8.97 sec
with rad 8, center at [0, -10.0, -24.0], num_waypoints 70, epsilon 5.5, & overshoot 0.0... it took 7.84 sec
with rad 8, center at [0, -10.0, -24.0], num_waypoints 70, epsilon 4.3, & overshoot 4.3... it took 8.12 sec
with rad 8, center at [0, -10.0, -22.0], num_waypoints 70, epsilon 4.3, & overshoot 4.3... it took 8.21 sec
with rad 8, center at [0, -10.0, -22.0], num_waypoints 70, epsilon 4.3, & overshoot 4.3... it took 7.96 sec
with rad 8, center at [0, -10.0, -22.0], num_waypoints 70, epsilon 4.3, & overshoot 4.3... it took 8.42 sec
with rad 8, center at [0, -10.0, -22.0], num_waypoints 70, epsilon 4.3, & overshoot 4.3... it took 8.13 sec
with rad 8, center at [0, -10.0, -22.0], num_waypoints 70, epsilon 4.8, & overshoot 4.8... it took 8.61 sec
with rad 8, center at [0, -10.0, -22.0], num_waypoints 70, epsilon 5.0, & overshoot 5.0... it took 8.25 sec
with rad 8, center at [0, -10.0, -22.0], num_waypoints 70, epsilon 5.5, & overshoot 0.0... it took 7.95 sec
with rad 8, center at [0, -10.0, -22.0], num_waypoints 70, epsilon 5.6, & overshoot 0.0... it took 8.09 sec
with rad 8, center at [0, -10.0, -22.0], num_waypoints 70, epsilon 5.7, & overshoot 0.0... it took 8.38 sec
with rad 8, center at [0, -10.0, -22.0], num_waypoints 70, epsilon 5.4, & overshoot 0.0... it took 8.57 sec
with rad 8, center at [0, -10.0, -22.0], num_waypoints 70, epsilon 4.5, & overshoot 4.5... it took 8.85 sec
with rad 8, center at [0, -10.0, -22.0], num_waypoints 70, epsilon 4.0, & overshoot 4.0... it took 8.12 sec
with rad 8, center at [0, -10.0, -22.0], num_waypoints 70, epsilon 4.3, & overshoot 4.3... it took 8.33 sec
